ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
model8177_281,2.866967386,1.70436618,3.724531829,,,,,,,,,,,,,-0.02806668,-0.003840928,1.581346587,,1.378863399,-0.022562087,-0.017130194,166.376751
model8177_282,2.865956254,1.703523422,3.724348407,,,,,,,,,,,,,-0.027958606,-0.003847971,1.578897674,,1.382155389,-0.022490646,-0.017048794,166.0509144
model8177_283,2.864979008,1.702711662,3.724178412,,,,,,,,,,,,,-0.027853954,-0.003854048,1.576506475,,1.378120361,-0.022420943,-0.016970496,165.7285538
model8177_284,2.864019021,1.701916569,3.724018357,,,,,,,,,,,,,-0.027749003,-0.003859696,1.574141646,,1.366666149,-0.022350725,-0.016892291,165.4071247
model8177_285,2.863008585,1.701074659,3.723837193,,,,,,,,,,,,,-0.027642808,-0.003865313,1.571762489,,1.368459234,-0.022279606,-0.016813228,165.0843792
model8177_286,2.862017722,1.700252643,3.72366867,,,,,,,,,,,,,-0.027537901,-0.003870826,1.569360645,,1.376239322,-0.022209323,-0.016735149,164.7654714
model8177_287,2.86105788,1.699458104,3.723509716,,,,,,,,,,,,,-0.027434921,-0.003875257,1.567042894,,1.369427121,-0.022139639,-0.016659198,164.4471917
model8177_288,2.860031611,1.698605279,3.723330245,,,,,,,,,,,,,-0.027330842,-0.003879655,1.564648852,,1.372179219,-0.022069153,-0.016582493,164.1285096
model8177_289,2.859059722,1.697798336,3.723164318,,,,,,,,,,,,,-0.027228385,-0.003883627,1.562273283,,1.381331286,-0.021999514,-0.016507237,163.8124849
model8177_290,2.858057523,1.696969506,3.723001137,,,,,,,,,,,,,-0.027125243,-0.003887302,1.559973004,,1.372198132,-0.021929181,-0.016431706,163.4963719
model8177_291,2.85706259,1.696144848,3.722834416,,,,,,,,,,,,,-0.027023123,-0.003890496,1.557634938,,1.373957629,-0.02185923,-0.016357237,163.1832415
model8177_292,2.856062664,1.695316867,3.722668554,,,,,,,,,,,,,-0.026404377,-0.003978034,1.555288298,,1.367770067,-0.021483609,-0.015857819,162.8712028
model8177_295,2.853027199,1.692804301,3.722169497,,,,,,,,,,,,,-0.025143393,-0.003967026,1.548224732,,1.375417319,-0.020584175,-0.014973952,161.9402553
model8177_297,2.851006646,1.691133751,3.721841839,,,,,,,,,,,,,-0.025905141,-0.003982761,1.543650965,,1.358853552,-0.021133938,-0.015501463,161.3275537
model8177_298,2.849994657,1.690297887,3.721679442,,,,,,,,,,,,,-0.026049207,-0.003907722,1.541352457,,1.361035082,-0.021182748,-0.015656394,161.0239673
model8177_300,2.847957023,1.688615959,3.721357386,,,,,,,,,,,,,-0.02564151,-0.003813866,1.536906043,,1.36421536,-0.020828096,-0.015434475,160.418675
model8177_302,2.845902005,1.686920966,3.721037095,,,,,,,,,,,,,-0.025461621,-0.003814816,1.533547069,,1.353738828,-0.020701567,-0.015306602,159.8171808
model8177_303,2.844892507,1.686088941,3.720881921,,,,,,,,,,,,,-0.025373949,-0.003814581,1.531893106,,1.361168466,-0.020639407,-0.015244775,159.5189904
model8177_304,2.843840664,1.685222599,3.72071908,,,,,,,,,,,,,-0.025284252,-0.003814391,1.530256296,,1.355439656,-0.020575847,-0.015181484,159.220691
model8177_305,2.84282776,1.684388621,3.720564977,,,,,,,,,,,,,-0.024885134,-0.003830032,1.528626546,,1.363401421,-0.020304688,-0.014888205,158.92467
model8177_306,2.841771181,1.683519181,3.720404428,,,,,,,,,,,,,-0.024800737,-0.003829785,1.527004157,,1.360646324,-0.020244836,-0.014828703,158.6286098
model8177_307,2.840753514,1.682681813,3.720251413,,,,,,,,,,,,,-0.024719569,-0.003828597,1.52532975,,1.365974977,-0.020186602,-0.014772148,158.3360041
model8177_309,2.838670196,1.680968521,3.719940399,,,,,,,,,,,,,-0.02455624,-0.003825908,1.522089217,,1.355491242,-0.020069209,-0.014658559,157.7513959
model8177_315,2.832367987,1.675796197,3.719023365,,,,,,,,,,,,,-0.02407266,-0.003811601,1.512469968,,1.343434464,-0.01971715,-0.014326733,156.0249652
model8177_317,2.830219698,1.674038773,3.718724015,,,,,,,,,,,,,-0.023632139,-0.003823689,1.509277616,,1.343908245,-0.019414202,-0.014006689,155.4585619
model8177_323,2.823760025,1.668756837,3.717833238,,,,,,,,,,,,,-0.023190559,-0.003799982,1.737590086,,1.337877696,-0.019085195,-0.013711209,149.9080771
model8177_324,2.822691071,1.667885817,3.71769399,,,,,,,,,,,,,-0.02311779,-0.003795273,1.735742836,,1.351234854,-0.019030409,-0.013663083,149.6324141
model8177_325,2.821588689,1.666985977,3.717545365,,,,,,,,,,,,,-0.023044917,-0.003790268,1.733819635,,1.349135046,-0.018975341,-0.013615093,149.3577571
model8177_328,2.818331598,1.664330417,3.717116011,,,,,,,,,,,,,-0.02255566,-0.003790974,1.728092838,,1.33595639,-0.018629883,-0.013268637,148.5417838
model8177_330,2.816115938,1.662527305,3.71683152,,,,,,,,,,,,,-0.022421369,-0.003780211,1.724266348,,1.341361699,-0.018527315,-0.013181289,148.0048787
model8177_332,2.813904427,1.660729569,3.716552031,,,,,,,,,,,,,-0.022289526,-0.003768253,1.720284771,,1.326326822,-0.018425632,-0.013096518,147.4726936
model8177_333,2.812823226,1.659853974,3.716424681,,,,,,,,,,,,,-0.022226284,-0.00376182,1.718274625,,1.338840629,-0.018376365,-0.013056348,147.2100241
model8177_334,2.811682661,1.658925116,3.716275758,,,,,,,,,,,,,-0.022157334,-0.003755864,1.716331793,,1.338049058,-0.018323398,-0.013011805,146.9447922
model8177_336,2.809433511,1.657100688,3.716001355,,,,,,,,,,,,,-0.022024595,-0.003743015,1.712396103,,1.338348356,-0.018220452,-0.012927029,146.4225721
model8177_337,2.808340115,1.656212035,3.715864552,,,,,,,,,,,,,-0.021958853,-0.003736111,1.710379882,,1.328160118,-0.018169084,-0.012885425,146.1627261
model8177_342,2.802674142,1.651624551,3.715193566,,,,,,,,,,,,,-0.021375192,-0.003712107,1.700237269,,1.328270088,-0.017739399,-0.012489688,144.8817933
model8177_343,2.80153759,1.650706077,3.71506231,,,,,,,,,,,,,-0.021315219,-0.003704546,1.698113255,,1.327362698,-0.017691645,-0.012452626,144.6297859
model8177_344,2.800455879,1.649836179,3.714950373,,,,,,,,,,,,,-0.021256664,-0.003696421,1.696033501,,1.324980164,-0.017644496,-0.012416967,144.3789471
model8177_346,2.798099602,1.647929683,3.714672451,,,,,,,,,,,,,-0.021134823,-0.003680821,1.691921518,,1.329509818,-0.01754731,-0.012341844,143.8752509
